description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"This airy confection has aromas of lemon and vanilla, then almost sweet flavors of butterscotch and lemon cream on a fairly soft texture. It is light to medium bodied.",wine_taster,5,29,167,5.758620689655173,3,10,3,2,5,2,25,7,10,1,2,12,1,12.943103448275863,3,68.96551724137932
"Aromas of wet earth, leafy underbrush and dark berry lead the nose on this informal red. The simple palate is rather diluted but offers notes of dried black cherry, orange peel and nut alongside zesty acidity.",wine_taster,6,36,209,5.805555555555555,4,11,8,4,8,2,22,18,7,3,4,10,1,14.914166666666667,1,66.66666666666666
"Hints of dusty mineral, nut and spice lend a savory tone to apple and pear in this cutting, crisp Riesling. It's honed and steely on the palate, finishing on a reverberating and bitter lime-zest note.",wine_taster,1,37,200,5.405405405405405,6,11,6,3,7,2,23,20,8,1,3,13,2,13.27945945945946,1,59.45945945945946
"This blend is green and herbal up front. Following the nose, the palate is solid and chewy, but raw. Flavors of berry, olive and mixed spices are herbal, minty and green, while finishing notes of herbs, chocolate and heat fit the bill. This is 85% Cabernet Sauvignon, with Carmenère and Merlot.",wine_taster,3,52,294,5.653846153846154,12,15,5,7,8,4,28,9,10,3,3,21,8,11.699615384615392,1,59.61538461538461
"Attractive, simply fruity Chenin Blanc, this is a wine for drinking now. It is full of nutty flavors and apple acidity, with just a touch of minerality to give the wine some tension.",wine_taster,4,33,182,5.515151515151516,5,9,6,4,3,2,23,15,7,2,2,15,2,12.796363636363637,3,57.57575757575758
"Lighter in color and body than many counterparts, this wine presents a sour blackberry and woody herb nose. Black olives, elderberries, cedar and black pepper beef flavors show on the gravelly palate.",wine_taster,5,32,200,6.25,5,15,7,2,6,2,20,17,8,1,3,9,2,16.0075,0,71.875
"Reserved aromas of spice, pear and lychee are followed by medium-sweet flavors. Pair it with yellow curry.",wine_taster,3,18,106,5.888888888888889,4,6,3,3,4,2,16,6,5,2,3,6,2,10.806666666666665,0,72.22222222222221
"Earthy, woody aromas suggest oak, coconut and coffee, while an herbal, olive note is also present. This is a bit sharp and shearing in terms of acidity, but creamy vanilla flavors mellow the wine's racy plum and cherry character.",wine_taster,7,40,229,5.725,7,17,5,4,6,2,26,21,10,2,3,13,2,15.534749999999995,1,70.0
"Low in oak and high in acidity, this wine skews tart and high-strung in terms of citrus and wet stone-like notions, offering a bouquet of lemon chiffon. A nice entry and finish surround a less-intriguing middle.",wine_taster,5,39,211,5.410256410256411,7,15,5,2,8,2,34,12,12,1,6,13,1,13.802307692307693,1,66.66666666666666
"Jammy black-fruit aromas are woody, reduced and come across cheesy. A thick, tannic, oaky body is home to flavors of plastic, creamy oak, vanilla and charred berries. This is pasty, oaky and creamy on the finish.",wine_taster,7,37,212,5.72972972972973,10,12,5,6,8,3,22,11,7,2,4,12,2,11.723693693693697,0,70.27027027027027
"This doesn't taste true to the grape variety, but it's a good white wine with orange peel, jasmine and tangerine aromas, fairly quiet fruit flavors and then a floral, citrus finish. Light to medium bodied, it has an appetizing texture.",wine_taster,6,42,235,5.595238095238095,7,14,6,4,8,2,38,11,11,3,6,14,2,15.423571428571428,3,69.04761904761905
"Light aromas of herbs, woodspice, tire rubber and red fruit lead to jammy raspberry and spice flavors that provide easy drinking pleasure.",wine_taster,4,22,138,6.2727272727272725,3,11,4,2,5,1,25,25,11,2,5,5,1,19.114545454545457,0,81.81818181818183
"Cola and berry aromas are jumpy. This feels tight and rubbery, but reasonably well focused. Standard plum and berry flavors are restrained, while the finish is fruity, with a clipped ending.",wine_taster,3,31,190,6.129032258064516,6,8,4,6,4,3,19,7,6,4,1,12,3,12.604408602150535,3,67.74193548387096
"Buoyantly aromatic, this blossomy Traminette sparkling wine stands out in a line up of traditional Champagne-style sparklers. Heady rose and gardenia tones feel perfumey on the palate, but brisk acidity and soft, pillowy foam are pleasant.",wine_taster,3,37,239,6.45945945945946,6,10,7,5,7,2,22,21,5,3,5,12,3,18.244054054054054,1,62.16216216216216
"A soft-textured, rather light-bodied and fruit-forward offering, this smells and tastes like pear, apple and grape juices with a touch of sweetness and low acidity.",wine_taster,4,28,164,5.857142857142857,7,11,3,2,3,1,35,35,11,2,3,9,0,20.15714285714285,2,64.28571428571429
Fresh red fruits are smoothed out with caramel and spice flavors that give a ripe feel to this wine. It's light and ready to drink.,wine_taster,5,26,131,5.038461538461538,2,6,4,5,6,2,20,8,6,3,4,10,1,8.801153846153845,0,65.38461538461539
"A rich texture and rather ripe fruit flavors make this softer and broader in taste than many of its peers. Flavors like Fuji apple and Bartlett pear are appealing, and the mouthfeel is smooth and easy rather than crisp.",wine_taster,5,39,219,5.615384615384615,3,9,5,4,9,2,21,21,4,3,3,15,3,14.768461538461537,2,61.53846153846154
"Fresh peach and light floral aromas lead to ripe, grapey flavors and a soft, soothing texture in this medium-bodied wine. It is smooth and low in acid, with a charming flowery element that helps it stand out.",wine_taster,5,38,208,5.473684210526316,6,9,4,5,11,2,25,19,7,2,6,14,1,13.851052631578945,0,65.78947368421053
"Made by an Oregon winery from Carneros region grapes, this wine tastes mellow and mature. It has a relatively light color with an auburn rim, aromas that are savory and meaty, flavors like rhubarb and beef, a fairly crisp balance and smooth texture.",wine_taster,5,43,249,5.790697674418604,6,13,6,5,7,2,32,17,9,2,6,16,3,16.59418604651163,2,62.7906976744186
"Herb, currant, vanilla and tire-rubber aromas are at the fore. The blackberry flavors drink off dry, sweetening toward the finish.",wine_taster,6,21,130,6.190476190476191,6,9,4,3,1,2,15,12,6,1,0,7,2,12.977142857142859,0,61.904761904761905
"Fresh in zingy, ripe blackberry flavor, this well-made Zin has firm tannins and a dollop of peppery spice on the finish.",wine_taster,3,22,120,5.454545454545454,4,7,5,2,4,1,26,26,7,2,4,8,2,15.260909090909088,1,63.63636363636363
"This offers aromas of oak, chocolate and raisin. On the palate, black cherry and prune flavors are accompanied by bittersweet chocolate, vanilla and evident oak sensations. This is already evolved, so drink over the next year or two.",wine_taster,9,38,233,6.131578947368421,7,12,4,6,5,3,21,10,7,2,4,15,3,13.783070175438596,2,65.78947368421053
"Pencil eraser, iodine, latex and blueberry aromas settle better than they start. In the mouth, this is saturated and chunky in feel, with toasty flavors of blackberry, licorice and mint that finish long, herbal and loamy.",wine_taster,3,36,221,6.138888888888889,8,12,3,6,3,2,29,15,7,3,3,14,1,16.484166666666667,2,63.888888888888886
"Enticing and idiosyncratic on the nose, this Merlot offers notes of rose petal, smoke, blood orange and caraway seed. The palate is medium bodied and the 13% alcohol gives it a sense of finesse. Fine but firm tannins frame the cherry fruit, and it finishes with hints of maduro and rose.",wine_taster,4,51,287,5.627450980392157,8,18,8,7,6,3,23,17,7,2,3,20,4,13.575294117647061,0,60.78431372549019
"There's lots of rich Chardonnay character in this affordable wine. It's rich with vanilla, buttered toast, honey, orange and pineapple-jam flavors, with brisk acidity providing balance. Great price for a Chard this good.",wine_taster,4,36,220,6.111111111111111,8,13,6,4,7,3,24,8,8,3,3,9,3,13.353333333333332,1,69.44444444444444
"This Pinot starts out tight, but after some time in the glass opens up to reveal black raspberry, mushroom, cola and exotic spice notes. It's dry, yet silky, in the mouth. A pretty wine, and for the price, a comparative bargain.",wine_taster,4,42,228,5.428571428571429,10,11,9,4,6,3,28,11,7,3,2,17,2,11.138571428571431,2,54.761904761904766
"Impressive for its power, a wine of considerable interest and complexity. It's rich in black cherries, red currants, cola, bacon and spice flavors, but the texture really stands up, a combination of firm tannins and brilliant acidity. Oak provides complicating notes of sweet toast. Drink soon.",wine_taster,8,47,294,6.25531914893617,10,16,11,5,9,4,33,3,10,2,5,13,2,13.907553191489363,2,68.08510638297872
"Everything about this lighter-framed Navarran blend is an echo of when European red wines were racy and crisp as opposed to big, extracted, dark and woody. With fresh raspberry aromas, zesty acidity and earthy flavors of red berry and spice offset by cocoa and vanilla, this is akin to Bordeaux and it should go nicely with most kinds of food.",wine_taster,4,61,343,5.622950819672131,7,16,6,9,12,2,37,31,11,4,5,26,5,20.304098360655736,3,65.57377049180327
"Perfumed in cinnamon-flowery aromatics, this well-valued Zin is softly spiced, lush and smooth, drinkable with black cherry flavor and plenty of personality.",wine_taster,3,24,157,6.541666666666667,6,6,3,4,4,1,30,30,6,4,4,7,2,21.38125,2,66.66666666666666
"This is the ideal anti-Chardonnay white wine. There's no oak at all to interfere with the lemon, lime and mineral flavors, and the acidity is brisk and mouthwatering. A dry, crisply brilliant wine to drink now with everything from sushi to tuna tartare.",wine_taster,7,45,253,5.622222222222222,7,11,6,8,6,3,25,10,6,4,1,20,1,12.550666666666665,5,66.66666666666666
"Full-bodied wine with ripe pear and red apple flavors, laced with delicate acidity. It's an elegant wine, a fine balance with a more mineral, tight texture as a counterpoint. Drink from 2014.",wine_taster,6,34,191,5.617647058823529,7,10,9,3,9,3,20,4,5,1,4,11,1,10.69578431372549,0,64.70588235294117
"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years.",wine_taster,5,29,172,5.931034482758621,4,6,6,3,9,2,22,11,5,2,6,10,1,13.755172413793105,2,68.96551724137932
"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2015.",wine_taster,6,39,223,5.717948717948718,7,8,5,6,6,4,14,7,4,0,2,15,4,10.376538461538463,9,74.35897435897436
"This Amarone is loaded with big fruit sensations of ripe cherry and plum, along with raisin, chocolate and oak accents. It's rather one dimensional, but has delicious fruit and is perfect for immediate enjoyment.",wine_taster,5,35,212,6.057142857142857,5,10,6,5,6,2,23,17,8,2,2,12,1,15.849142857142859,1,62.857142857142854
"Intensely concentrated in black currants, cassis liqueur and oak aromas and flavors, this Cabernet is so strong, it's practically undrinkable now. It's not just the potent tannins and bright acidity, it's the raw, jammy quality of the fruit. All these elements could begin to come together after 2017.",wine_taster,6,51,301,5.901960784313726,8,11,9,8,8,3,26,11,6,3,3,17,1,14.868235294117646,7,66.66666666666666
"The small enclave of Buzet makes wines in a Bordeaux style, with black currant fruitiness and some firm tannins. This wine, now aging well, shows ripe juicy fruits, a solid dry core and refreshing, crisp acidity at the end.",wine_taster,5,39,223,5.717948717948718,7,11,8,4,8,2,25,21,6,2,5,13,4,15.251538461538466,2,64.1025641025641
"Very spicy in character, the wine has a rich feel to it, offering a rounded palate with a touch of mango alongside the more complex almond and spiced pear flavors.",wine_taster,3,30,163,5.433333333333334,3,9,6,3,4,1,33,33,9,3,4,13,1,19.161,2,60.0
"Spicy red currant fruit comes up quickly, backed with the grape's signature accents of stem and earth. There's a residual flavor of slightly bitter tomato leaf.",wine_taster,2,28,160,5.714285714285714,3,10,4,3,4,2,20,11,7,2,2,7,1,12.484285714285711,3,71.42857142857143
"This is the winery's Left-Bank-Bordeaux-style blend, three quarters Cabernet Sauvignon. It has a pleasing mix of red and black fruits, licorice, toast and smoke, and spent two and a half years in French oak, 60% new. The wine is quite tasty and drinking well, though the blend lacks focus.",wine_taster,3,53,289,5.452830188679245,13,15,9,7,6,3,32,15,9,2,5,17,5,13.086163522012576,2,56.60377358490566
"A rich wine, full of black fruits, ripe tannins and juicy acidity. It's powerful and structured, showing a mineral texture, bold acidity and ample fruitiness.",wine_taster,5,26,158,6.076923076923077,6,8,7,2,9,2,17,15,4,2,4,6,0,13.692307692307686,0,73.07692307692307
"This opens with funky but not unpleasant aromas that soon burn off to reveal earthy notes and mature black fruit. The palate shows a very ripe—almost overripe—blackberry flavor, with mushroom and tobacco leaf accents. While the ripe fruit still has immediate appeal, this is getting tired, so drink soon.",wine_taster,10,51,304,5.96078431372549,8,14,8,9,8,3,21,18,4,4,4,19,3,15.145294117647062,6,72.54901960784314
"Don't let the label mislead you; this is not a dessert wine. It's off-dry, with a pretty suite of lemon, orange and citrus peel flavors. A whiff of tea runs through the aromas, and a bit of lemon oil in the finish.",wine_taster,5,45,214,4.7555555555555555,8,15,8,5,4,3,19,15,8,0,0,18,0,8.468666666666667,3,60.0
"A delicate, crisp, very pure wine. It has perfumes of white flowers, which continue with the addition of ripe pear and lime. Crisp at the end, for drinking now, but also keep until 2017.",wine_taster,2,34,186,5.470588235294118,8,7,5,4,6,3,18,9,5,2,3,15,1,10.003137254901961,3,58.82352941176471
